date,open,high,low,close,volume
2021-10-13,64.05,64.44,62.84,62.92,157900
2021-10-14,62.92,64.44,62.37,62.53,132300
2021-10-15,62.61,63.7,62.61,63.62,52900
2021-10-18,62.92,63.31,62.21,62.53,210800
2021-10-19,62.57,62.57,60.96,61.94,248200
2021-10-20,61.94,62.64,60.61,60.65,403600
2021-10-21,61.04,61.94,59.4,59.4,224700
2021-10-22,60.38,61.16,60.34,61.16,51800
2021-10-25,61.16,61.75,61.16,61.24,40000
2021-10-26,61.32,61.71,60.73,60.73,73200
2021-10-27,61.47,62.49,60.96,62.49,120600
2021-10-28,63.31,64.4,62.61,64.32,205900
2021-10-29,64.32,64.32,62.72,62.72,222200
2021-11-01,62.8,63.7,62.8,63.31,135000
2021-11-02,63.62,64.68,63.31,64.56,126300
2021-11-03,64.56,67.53,64.09,67.45,344200
2021-11-04,66.28,67.45,65.5,67.14,106400
2021-11-05,65.69,67.22,65.69,67.22,103300
2021-11-08,67.22,67.96,66.51,67.88,139900
2021-11-09,67.76,68.0,66.83,68.0,62700
2021-11-10,68.0,68.0,66.83,68.0,37600
2021-11-11,67.92,68.35,67.22,67.22,56300
2021-11-12,67.22,67.96,67.18,67.22,35800
2021-11-15,67.18,67.61,66.43,66.43,29300
2021-11-16,66.83,66.83,65.07,66.67,47000
2021-11-17,66.71,66.71,66.04,66.63,44500
2021-11-18,66.79,66.79,65.73,65.73,103400
2021-11-19,65.73,66.12,65.26,65.3,42100
2021-11-22,65.26,66.36,64.09,65.65,155100
2021-11-23,65.69,66.36,65.38,65.65,30600
2021-11-24,65.65,66.04,64.13,65.65,108200
2021-11-25,65.65,65.65,64.48,64.48,100600
2021-11-26,64.72,64.72,62.53,62.61,211800
2021-11-29,62.53,62.53,61.0,61.0,184300
2021-11-30,61.08,62.53,60.18,60.18,359300
2021-12-01,61.75,61.75,60.42,61.16,52000
2021-12-02,61.16,62.53,61.16,62.14,206600
2021-12-03,62.14,62.14,61.35,61.35,102100
2021-12-06,61.28,61.28,59.24,59.24,121600
2021-12-07,59.32,60.38,59.32,59.79,196400
2021-12-08,59.83,60.03,59.67,59.75,144500
2021-12-09,59.79,60.26,59.56,59.6,207900
2021-12-10,59.6,60.18,59.36,59.52,150200
2021-12-13,59.79,59.91,59.52,59.52,175100
2021-12-14,59.52,60.18,59.4,59.71,126400
2021-12-15,59.79,59.79,59.48,59.6,78900
2021-12-16,59.52,59.67,58.85,59.01,90400
2021-12-17,59.01,59.13,58.62,58.62,189300
2021-12-20,58.66,58.66,58.15,58.23,117100
2021-12-21,58.23,58.5,58.15,58.19,122000
2021-12-22,58.23,58.23,57.64,57.68,129400
2021-12-23,57.56,57.68,57.37,57.41,142700
2021-12-24,57.25,58.15,57.13,57.45,137800
2021-12-27,57.56,59.01,57.52,57.8,78300
2021-12-28,58.42,58.42,57.64,57.95,102000
2021-12-29,57.95,57.95,57.72,57.95,50300
2021-12-30,58.23,58.23,58.03,58.19,82100
2021-12-31,58.19,62.18,58.19,59.01,276600
2022-01-04,59.4,61.55,59.4,61.35,395300
2022-01-05,61.75,62.41,61.75,62.25,322300
2022-01-06,62.14,62.21,60.96,61.2,75300
2022-01-07,61.24,61.24,60.21,60.65,114100
2022-01-10,61.0,61.0,59.81,60.17,195900
2022-01-11,60.17,60.57,59.58,60.53,129700
2022-01-12,60.49,60.53,59.74,60.49,163300
2022-01-13,60.57,60.61,59.78,59.78,120000
2022-01-14,59.38,60.21,59.38,60.13,80400
2022-01-17,60.17,61.32,58.98,59.38,185000
2022-01-18,59.42,60.53,59.42,59.78,269400
2022-01-19,60.17,60.17,58.98,59.38,111500
2022-01-20,58.39,60.8,57.95,59.38,238100
2022-01-21,60.13,60.13,57.4,58.59,108700
2022-01-24,58.71,58.71,57.2,57.4,161600
2022-01-25,57.36,58.79,56.57,57.4,155900
2022-01-26,57.4,57.4,56.61,56.89,130100
2022-01-27,57.4,58.94,57.0,58.9,157500
2022-01-28,58.9,59.3,58.23,58.86,164800
2022-02-07,59.18,61.36,59.18,60.21,75700
2022-02-08,60.76,61.28,60.13,61.28,123100
2022-02-09,61.12,61.28,59.78,60.88,75900
2022-02-10,61.28,62.15,59.89,62.15,208500
2022-02-11,62.19,63.18,61.56,63.18,223800
2022-02-14,61.44,66.47,61.44,66.47,342500
2022-02-15,66.43,67.45,66.07,67.3,430400
2022-02-16,67.42,67.42,65.32,66.66,107500
2022-02-17,66.47,68.17,66.31,67.49,311500
2022-02-18,66.5,67.26,66.03,67.06,189100
2022-02-21,66.9,67.3,66.11,67.14,105500
2022-02-22,66.86,66.86,63.34,66.66,118400
2022-02-23,66.54,67.45,66.54,67.22,150800
2022-02-24,65.75,67.45,65.52,67.18,162700
2022-02-25,66.98,67.3,66.5,67.14,88000
2022-02-28,66.9,67.26,65.95,67.22,70600
2022-03-01,67.22,67.22,66.31,66.5,42900
2022-03-02,66.7,67.5,66.3,67.5,93200
2022-03-03,67.3,67.46,66.74,66.74,23700
2022-03-04,66.3,66.3,63.91,63.91,111700
2022-03-07,62.91,63.87,61.15,61.75,286400
2022-03-08,61.23,62.15,61.19,62.15,96800
2022-03-09,61.79,64.31,61.51,61.91,178800
2022-03-10,61.91,63.51,61.91,62.71,143000
2022-03-11,63.43,63.43,61.39,61.51,133700
2022-03-14,61.11,61.87,60.31,61.51,154500
2022-03-15,61.51,61.51,60.11,60.43,138100
2022-03-16,60.51,61.55,60.19,61.51,143000
2022-03-17,61.51,61.51,60.79,61.51,41700
2022-03-18,61.79,61.87,60.51,60.51,240200
2022-03-21,61.47,61.47,60.75,60.79,66500
2022-03-22,61.43,61.67,61.03,61.51,117300
2022-03-23,61.51,63.91,61.07,62.91,145400
2022-03-24,63.03,63.07,61.91,63.03,95200
2022-03-25,63.11,63.11,62.27,62.91,122600
2022-03-28,63.15,63.15,61.51,62.95,78100
2022-03-29,62.95,63.47,62.03,63.11,170100
2022-03-30,63.11,63.11,62.47,63.07,159900
2022-03-31,63.07,63.51,62.87,63.51,196900
2022-04-01,64.11,66.3,63.55,66.02,350200
2022-04-04,66.62,66.82,66.1,66.5,221400
2022-04-05,66.5,66.7,66.3,66.38,69400
2022-04-06,66.3,67.98,65.14,67.7,296600
2022-04-07,67.42,67.42,66.5,66.5,89600
2022-04-08,64.55,66.34,64.55,65.58,145200
2022-04-12,65.54,66.7,65.22,65.22,111700
2022-04-13,65.26,65.9,64.79,65.3,132800
2022-04-14,65.46,66.7,64.55,66.66,100300
2022-04-15,66.3,68.22,66.3,67.34,220100
2022-04-18,67.26,69.1,67.1,67.9,779800
2022-04-19,67.9,68.3,66.3,67.46,319300
2022-04-20,67.46,69.06,66.7,68.7,322500
2022-04-21,67.94,68.62,66.66,67.78,501700
2022-04-22,67.74,72.45,63.07,68.02,373200
2022-04-25,67.58,67.58,63.27,63.27,258900
2022-04-26,60.31,67.62,60.31,67.5,440300
2022-04-27,64.79,67.5,64.79,67.5,146500
2022-04-28,65.94,66.7,65.18,65.9,43700
2022-04-29,65.66,66.3,63.91,64.75,161500
2022-05-04,63.83,65.5,63.83,65.3,75900
2022-05-05,65.3,67.66,64.39,67.66,112300
2022-05-06,66.3,67.62,65.9,66.9,155000
2022-05-09,65.22,66.7,63.91,63.95,186100
2022-05-10,62.83,65.9,62.71,65.86,147000
2022-05-11,65.82,66.02,64.71,65.3,159400
2022-05-12,65.3,66.54,64.67,65.86,239400
2022-05-13,65.5,65.9,61.47,64.98,331600
2022-05-16,63.51,64.67,61.71,63.03,99700
2022-05-17,61.43,66.1,61.11,66.1,172300
2022-05-18,64.71,65.02,63.51,64.51,155400
2022-05-19,62.31,65.06,62.31,65.06,138600
2022-05-20,63.23,64.19,62.31,62.51,166700
2022-05-23,62.55,63.11,61.51,61.55,96400
2022-05-24,61.55,61.91,61.11,61.51,178100
2022-05-25,61.51,62.15,61.15,61.51,196200
2022-05-26,61.51,62.19,60.91,61.11,227400
2022-05-27,61.15,61.79,60.99,61.51,228700
2022-05-30,61.51,61.87,60.99,61.27,140900
2022-05-31,61.27,61.79,60.67,61.31,170900
2022-06-01,60.95,61.71,60.95,61.15,359100
2022-06-02,61.15,61.51,60.95,61.11,114900
2022-06-03,61.11,62.63,61.11,61.99,258700
2022-06-06,61.91,63.47,61.91,63.31,221300
2022-06-07,63.07,63.87,62.67,63.87,137700
2022-06-08,63.87,64.79,63.07,63.79,198900
2022-06-09,63.79,63.83,62.71,62.71,111000
2022-06-10,62.71,63.23,62.51,62.99,76800
2022-06-13,61.91,61.91,60.59,61.11,151500
2022-06-14,60.71,60.87,59.75,59.91,196400
2022-06-15,60.71,60.99,59.91,60.71,116800
2022-06-16,60.91,63.11,60.91,62.47,156700
2022-06-17,61.07,62.71,60.31,62.31,150800
2022-06-20,61.11,61.79,60.51,60.71,52400
2022-06-21,61.31,63.11,59.51,61.91,182900
2022-06-22,62.99,62.99,61.51,62.31,135500
2022-06-23,60.55,61.87,60.55,61.27,23500
2022-06-24,60.79,62.23,60.79,62.15,84000
2022-06-27,62.31,62.67,61.91,62.63,99100
2022-06-28,62.63,62.83,61.03,62.75,69100
2022-06-29,62.75,62.75,61.31,61.51,39300
2022-06-30,61.51,62.31,61.51,61.75,24300
2022-07-01,62.19,62.19,60.91,61.47,61500
2022-07-04,61.51,61.91,60.91,61.31,20800
2022-07-05,61.83,61.87,60.23,60.23,151300
2022-07-06,60.23,61.11,59.91,60.95,60300
2022-07-07,61.07,62.39,60.47,62.39,52100
2022-07-08,61.07,62.43,61.07,61.95,91500
2022-07-11,61.35,61.95,61.11,61.95,54500
2022-07-12,61.03,61.91,61.03,61.35,25900
2022-07-13,61.19,62.23,61.19,61.35,41700
2022-07-14,61.11,61.91,61.11,61.87,22400
2022-07-15,61.51,61.63,60.95,61.51,38500
2022-07-18,61.23,61.59,61.19,61.59,12000
2022-07-19,61.71,62.67,61.19,62.63,139000
2022-07-20,62.91,63.83,62.63,63.83,107200
2022-07-21,63.91,66.3,63.91,65.9,223300
2022-07-22,65.5,67.06,64.31,66.3,196400
2022-07-25,66.3,66.3,65.1,65.9,130900
2022-07-26,64.71,67.1,64.71,66.98,165100
2022-07-27,67.02,67.02,66.22,66.98,116700
2022-07-28,67.58,69.9,67.58,69.1,233300
