date,open,high,low,close,volume
2022-09-26,51.86,51.86,50.81,50.99,501686
2022-09-27,51.68,51.68,50.95,50.99,384627
2022-09-28,50.95,51.36,50.72,50.95,376239
2022-09-29,51.41,51.5,50.76,50.95,273555
2022-09-30,50.95,50.95,47.78,49.11,1143524
2022-10-03,49.06,49.06,45.71,45.71,745763
2022-10-04,46.77,46.77,45.21,45.21,391424
2022-10-05,45.26,48.19,45.21,47.0,325420
2022-10-06,46.82,47.73,46.82,47.18,386048
2022-10-07,46.36,48.19,44.98,47.27,458087
2022-10-10,44.61,48.61,44.61,48.19,351361
2022-10-11,48.79,48.79,46.59,48.01,219613
2022-10-12,47.18,48.61,47.18,48.19,340377
2022-10-13,48.42,48.42,47.64,47.96,228670
2022-10-14,48.28,48.61,48.01,48.24,217613
2022-10-17,48.19,48.28,47.5,48.19,94825
2022-10-18,49.48,49.48,48.47,48.65,323007
2022-10-19,49.02,49.34,48.65,49.34,221743
2022-10-20,49.75,49.84,48.7,49.39,270124
2022-10-21,49.75,49.75,46.82,48.05,417860
2022-10-24,45.94,48.19,45.94,46.59,379094
2022-10-25,48.19,48.19,45.44,46.63,470313
2022-10-26,46.86,47.73,46.59,47.46,259075
2022-10-27,48.05,48.05,46.95,47.55,174278
2022-10-28,47.92,48.1,47.41,47.97,134197
2022-10-31,48.38,48.38,46.49,47.78,280788
2022-11-01,47.64,47.78,46.99,46.99,157393
2022-11-02,47.46,47.64,46.76,46.76,305441
2022-11-03,45.42,48.1,45.42,47.18,316647
2022-11-04,47.6,47.6,43.89,43.89,937202
2022-11-07,43.99,45.33,43.94,44.17,282176
2022-11-08,44.31,45.24,43.89,44.82,199962
2022-11-09,44.77,45.14,43.99,45.0,128163
2022-11-10,44.82,45.33,43.02,44.87,416674
2022-11-11,45.24,45.24,44.54,44.96,180087
2022-11-14,44.17,46.25,43.99,44.68,230135
2022-11-15,44.36,45.79,41.67,43.52,508145
2022-11-16,41.67,44.87,41.63,44.87,509541
2022-11-17,44.87,46.25,44.82,46.25,364351
2022-11-18,46.25,47.13,45.33,46.3,290295
2022-11-21,46.3,47.64,46.3,47.23,163944
2022-11-22,48.01,48.89,47.27,47.64,286345
2022-11-23,47.18,48.89,47.18,48.89,166849
2022-11-24,49.03,49.26,47.78,49.03,166917
2022-11-25,49.26,50.51,48.94,49.12,235799
2022-11-28,49.26,50.88,49.26,50.42,234447
2022-11-29,50.42,52.27,50.23,52.17,358362
2022-11-30,52.17,52.68,51.43,52.5,194074
2022-12-01,51.57,52.87,50.93,51.8,265724
2022-12-02,52.04,53.42,51.16,53.19,412439
2022-12-05,53.19,53.19,52.73,53.15,135298
2022-12-06,53.1,53.33,51.34,51.39,286547
2022-12-07,52.17,52.17,49.03,50.28,307509
2022-12-08,50.28,51.34,50.28,51.34,235195
2022-12-09,51.94,51.94,50.97,51.76,83487
2022-12-12,50.93,51.71,50.56,51.71,159827
2022-12-13,51.62,52.04,49.95,52.04,156629
2022-12-14,52.04,52.27,51.25,52.27,119350
2022-12-15,51.67,52.27,51.34,52.27,129199
2022-12-16,51.39,52.27,51.39,52.22,260838
2022-12-19,51.34,51.94,51.34,51.8,129988
2022-12-20,51.2,51.8,50.65,51.11,127036
2022-12-21,50.88,51.11,50.19,50.69,182462
2022-12-22,50.88,50.93,49.49,50.42,241030
2022-12-23,50.42,50.42,49.03,50.23,148196
2022-12-26,50.69,50.79,49.58,49.95,149711
2022-12-27,49.95,50.37,49.72,49.95,134017
2022-12-28,50.14,53.42,50.05,50.88,250088
2022-12-29,52.73,53.04,51.8,53.04,222041
2022-12-30,53.35,55.44,53.04,55.44,397800
2023-01-03,56.12,56.12,54.83,55.2,221557
2023-01-04,55.2,55.32,54.64,54.89,209463
2023-01-05,55.75,55.75,54.76,55.2,189460
2023-01-06,55.2,55.26,54.76,54.76,138531
2023-01-09,54.33,55.01,54.02,54.76,151953
2023-01-10,54.82,54.82,54.2,54.64,155656
2023-01-11,54.64,54.64,53.89,53.89,264064
2023-01-12,53.89,53.89,53.15,53.4,166780
2023-01-13,53.46,54.14,53.46,53.58,197471
2023-01-16,53.64,55.26,53.64,54.33,431158
2023-01-17,54.39,55.26,54.33,54.64,289042
2023-01-18,55.51,55.51,54.26,54.95,337030
2023-01-19,54.39,55.2,54.39,55.2,591549
2023-01-27,55.63,59.05,55.63,58.36,1431722
2023-01-30,58.98,58.98,57.18,57.24,352071
2023-01-31,56.5,57.8,55.82,56.0,603498
2023-02-01,55.94,56.81,53.4,53.83,465909
2023-02-02,54.45,54.45,52.84,53.08,608078
2023-02-03,53.27,53.33,50.97,50.97,2089731
2023-02-06,51.28,52.84,51.28,52.03,346600
2023-02-07,52.59,52.59,51.22,51.59,309731
2023-02-08,51.59,52.09,50.97,51.47,292580
2023-02-09,51.35,51.84,51.28,51.47,404511
2023-02-10,51.47,52.03,51.35,51.72,469433
2023-02-13,51.72,52.28,51.22,51.84,411057
2023-02-14,51.66,51.66,50.48,50.97,266255
2023-02-15,50.91,51.04,50.54,50.91,241622
2023-02-16,50.91,51.28,50.79,51.28,184767
2023-02-17,51.28,51.59,50.85,51.53,243694
2023-02-20,51.53,52.46,51.35,52.46,365379
2023-02-21,52.71,53.27,52.22,52.46,420020
2023-02-22,52.15,52.15,51.53,51.53,321792
2023-02-23,51.28,51.53,50.29,50.97,352058
2023-02-24,50.91,50.97,49.42,50.29,533169
2023-02-27,49.67,49.67,47.25,47.25,591846
2023-02-28,47.31,48.12,47.31,47.75,263255
2023-03-01,47.81,48.24,47.25,48.18,266356
2023-03-02,48.43,49.86,48.43,49.86,297440
2023-03-03,49.86,50.23,48.8,49.3,222121
2023-03-06,49.55,49.55,48.61,48.74,134942
2023-03-07,49.24,49.24,47.93,49.24,121840
2023-03-08,49.17,49.67,47.81,49.67,214211
2023-03-09,49.36,49.67,49.05,49.61,160775
2023-03-10,49.05,49.36,48.61,49.05,150157
2023-03-13,49.67,50.23,49.42,49.79,444393
2023-03-14,50.29,50.42,49.73,50.1,277258
2023-03-15,50.42,50.42,49.79,50.17,263917
2023-03-16,50.29,50.29,49.05,49.98,327269
2023-03-17,49.98,49.98,48.43,49.05,154193
2023-03-20,49.61,50.29,49.05,49.67,481233
2023-03-21,50.23,50.23,48.74,49.05,247061
2023-03-22,49.36,49.36,48.49,48.99,222442
2023-03-23,48.61,48.93,48.43,48.74,169259
2023-03-24,48.8,49.05,48.49,49.05,141341
2023-03-27,49.05,49.05,48.37,48.55,203597
2023-03-28,48.55,48.68,47.87,48.3,420344
2023-03-29,48.3,48.3,47.25,47.81,344636
2023-03-30,48.93,48.93,47.68,48.24,332077
2023-03-31,48.3,48.68,48.06,48.24,406445
2023-04-03,48.43,48.43,47.5,47.68,759739
2023-04-04,47.81,48.18,47.37,47.56,791471
2023-04-05,47.75,48.3,47.56,47.99,1289643
2023-04-06,48.24,48.37,47.68,47.68,596796
2023-04-07,47.68,47.93,47.37,47.5,337218
2023-04-10,47.56,48.12,47.56,47.93,651095
2023-04-11,48.12,49.24,48.12,48.8,1033008
2023-04-12,49.05,49.05,48.37,48.37,606050
2023-04-13,48.43,48.68,47.75,47.81,408228
2023-04-14,48.18,48.43,47.99,48.18,596792
2023-04-17,48.18,48.99,48.18,48.49,693700
2023-04-18,48.74,49.36,48.3,48.55,944304
2023-04-19,48.74,48.8,48.18,48.43,303835
2023-04-20,48.74,48.74,47.81,47.99,287804
2023-04-21,48.3,48.49,47.56,47.81,399774
2023-04-24,47.68,47.99,47.5,47.5,193538
2023-04-25,47.5,47.81,46.88,46.88,380114
2023-04-26,46.88,47.06,45.94,46.94,649136
2023-04-27,47.12,47.62,46.38,47.0,373742
2023-04-28,47.06,47.81,46.57,47.81,410218
2023-05-04,47.81,47.81,47.19,47.25,269088
2023-05-05,47.68,47.81,47.19,47.31,192014
2023-05-08,47.31,47.5,47.06,47.12,223826
2023-05-09,47.5,47.5,46.81,46.94,196376
2023-05-10,46.94,47.06,46.63,46.69,333337
2023-05-11,46.69,47.06,46.44,46.57,341558
2023-05-12,46.57,46.69,46.19,46.57,353942
2023-05-15,46.57,46.88,46.57,46.69,226347
2023-05-16,46.69,46.75,46.26,46.26,206996
2023-05-17,46.07,46.44,46.07,46.32,196706
2023-05-18,46.32,46.32,45.63,45.63,397728
2023-05-19,45.82,45.82,45.01,45.01,330529
2023-05-22,45.26,45.32,44.7,44.77,284373
2023-05-23,45.51,45.63,44.77,44.83,637786
2023-05-24,45.14,45.14,44.33,44.39,438591
2023-05-25,44.27,44.58,44.08,44.21,389899
2023-05-26,44.64,44.77,44.27,44.7,297133
2023-05-29,44.77,44.95,44.14,44.33,277414
2023-05-30,44.33,44.58,44.02,44.14,498710
2023-05-31,44.21,44.27,43.96,44.02,329619
2023-06-01,44.02,44.14,43.52,43.65,358012
2023-06-02,44.02,45.32,43.71,45.32,780840
2023-06-05,46.13,46.13,45.32,45.76,554838
2023-06-06,45.39,45.57,44.95,45.2,634325
2023-06-07,45.2,45.2,44.64,45.08,768010
2023-06-08,45.08,45.2,44.7,44.83,512975
2023-06-09,45.2,45.2,44.76,45.08,715810
2023-06-12,44.89,45.39,44.7,45.39,580291
2023-06-13,45.58,46.64,45.52,45.89,1437879
2023-06-14,45.89,46.33,45.58,45.58,507740
2023-06-15,45.52,46.02,45.39,45.89,505341
2023-06-16,46.02,46.33,45.45,45.58,1006920
2023-06-19,45.52,45.58,44.58,45.27,865668
2023-06-20,45.27,45.27,44.45,45.27,1045978
2023-06-21,45.2,45.7,44.83,45.58,808067
2023-06-22,45.83,46.64,45.83,46.64,1307053
2023-06-23,46.64,47.52,46.45,47.46,1299420
2023-06-26,47.33,47.83,46.52,47.83,821679
2023-06-27,47.83,47.83,46.64,47.27,798910
2023-06-28,47.27,47.39,46.64,46.83,703220
2023-06-29,46.83,47.46,46.33,46.96,1118045
2023-06-30,47.08,47.08,46.2,46.96,1239871
2023-07-03,47.02,47.02,46.08,46.33,1031904
2023-07-04,46.33,46.45,46.08,46.33,853018
2023-07-05,46.52,46.89,46.14,46.14,1310059
2023-07-06,46.14,46.27,45.45,45.45,1153946
2023-07-07,45.45,45.83,44.95,44.95,1311175
2023-07-10,46.14,46.27,45.27,46.14,1086041
2023-07-11,46.14,46.83,46.14,46.64,1310510
2023-07-12,46.77,46.77,46.2,46.2,921399
2023-07-13,46.45,48.9,46.39,48.83,3898651
2023-07-14,50.21,50.21,48.77,49.15,1448549
2023-07-17,49.33,50.46,49.08,50.27,2522839
2023-07-18,49.96,50.34,49.46,49.9,1036054
2023-07-19,49.9,49.96,49.15,49.21,1019085
2023-07-20,49.27,49.4,48.83,49.4,701852
2023-07-21,49.59,50.52,49.27,50.09,1051223
2023-07-24,50.15,50.4,49.4,49.65,1349278
2023-07-25,49.77,50.71,49.46,50.4,1919410
2023-07-26,50.4,51.34,50.15,51.21,1612934
2023-07-27,51.21,51.21,50.21,50.65,989120
2023-07-28,50.84,51.84,50.84,51.71,1273162
2023-07-31,51.84,52.65,51.53,51.96,1247494
2023-08-01,51.9,52.21,50.71,50.71,2547760
2023-08-02,50.71,51.02,50.15,51.02,435738
2023-08-03,51.02,51.4,50.34,50.9,556610
2023-08-04,50.9,51.09,50.21,50.59,1238069
2023-08-07,50.65,51.46,50.46,51.46,619217
2023-08-08,51.71,51.71,50.65,50.96,579264
2023-08-09,50.96,50.96,50.27,50.27,597142
2023-08-10,50.27,50.4,49.4,49.46,1186133
2023-08-11,49.59,50.46,49.46,49.71,569664
2023-08-14,50.09,50.09,49.52,49.71,519997
2023-08-15,49.65,49.71,49.02,49.46,714614
2023-08-16,49.46,50.21,49.21,50.21,587281
2023-08-17,50.21,50.4,48.83,50.21,727709
2023-08-18,49.65,50.09,47.58,49.15,1088873
2023-08-21,49.77,49.77,48.21,49.46,551136
2023-08-22,49.46,49.46,48.27,49.15,546261
2023-08-23,48.9,49.15,48.27,48.52,329685
2023-08-24,48.4,48.96,48.4,48.83,258840
2023-08-25,48.71,49.21,48.4,49.02,593684
2023-08-28,49.4,49.77,49.02,49.77,457427
2023-08-29,50.09,50.65,49.77,50.34,768671
2023-08-30,50.4,50.59,50.02,50.52,506686
2023-08-31,50.4,50.9,50.4,50.4,728797
2023-09-05,50.77,50.84,50.21,50.4,346759
2023-09-06,50.71,50.77,50.34,50.77,722538
2023-09-07,51.4,53.4,51.02,52.72,1810996
2023-09-08,52.34,52.97,52.15,52.59,697683
2023-09-11,52.9,52.9,51.02,52.34,818031
2023-09-12,51.96,52.34,51.4,52.34,510701
2023-09-13,52.59,52.84,51.9,52.15,783552
2023-09-14,52.15,52.15,50.84,50.84,484149
2023-09-15,50.9,51.34,50.52,50.96,665082
2023-09-18,50.65,51.4,50.4,51.02,417286
2023-09-19,51.02,51.15,50.27,50.84,582396
2023-09-20,50.96,51.84,50.59,51.78,594427
2023-09-21,51.78,51.84,50.77,51.71,553171
2023-09-22,50.77,51.28,50.02,50.71,1001845
2023-09-25,51.02,51.02,49.77,49.96,575143
2023-09-26,49.65,50.09,49.15,49.15,571295
2023-09-27,49.15,49.9,48.83,49.52,414019
2023-09-28,49.46,49.46,49.02,49.15,333039
2023-09-29,49.15,49.71,49.15,49.33,137029
2023-10-02,49.33,50.4,49.15,49.4,271254
2023-10-03,49.71,49.71,48.52,48.52,442707
2023-10-04,48.46,48.83,48.27,48.58,333184
2023-10-05,48.96,49.08,48.65,48.71,156045
2023-10-06,48.96,48.96,48.52,48.83,195642
2023-10-09,49.46,50.34,48.9,50.09,561238
2023-10-10,50.71,50.96,49.65,49.77,474544
2023-10-11,50.15,50.27,49.96,50.27,300888
2023-10-12,50.46,50.84,50.09,50.09,315941
2023-10-13,50.09,50.34,49.65,49.96,287197
2023-10-16,50.46,50.46,49.71,50.02,520994
2023-10-17,50.09,50.15,49.52,49.52,216588
2023-10-18,49.46,49.46,47.27,48.21,641216
2023-10-19,48.21,48.58,47.52,47.52,570147
2023-10-20,47.77,48.4,47.45,47.71,265929
2023-10-23,48.02,48.02,47.01,47.01,421712
2023-10-24,47.33,47.45,46.82,47.33,283083
2023-10-25,47.33,47.83,47.01,47.01,354293
2023-10-26,46.82,46.82,45.56,46.82,905957
2023-10-27,46.69,46.82,45.94,46.57,344125
2023-10-30,46.57,46.57,45.94,46.13,218745
2023-10-31,46.19,46.19,45.24,45.56,481935
2023-11-01,45.24,45.62,44.99,45.56,294272
2023-11-02,45.68,46.82,45.68,46.69,374500
2023-11-03,47.33,47.39,46.69,46.69,1746873
2023-11-06,46.82,48.59,46.82,48.47,545250
2023-11-07,48.66,48.66,47.71,48.02,231799
2023-11-08,47.96,48.97,47.33,48.72,409141
2023-11-09,48.72,49.04,48.21,48.4,433953
2023-11-10,48.09,48.47,47.9,48.09,229011
2023-11-13,48.09,48.4,48.02,48.15,157274
2023-11-14,48.21,49.54,48.21,49.42,476399
2023-11-15,49.98,50.17,49.35,49.54,204954
2023-11-16,49.42,49.67,49.23,49.35,151658
2023-11-17,49.35,50.24,49.29,49.92,892512
2023-11-20,49.73,50.43,49.54,49.98,669516
2023-11-21,50.43,51.38,50.3,51.31,1010985
2023-11-22,51.06,51.5,51.0,51.38,642683
2023-11-23,51.44,51.95,50.93,51.12,1187132
2023-11-24,50.93,51.25,50.3,50.87,612548
2023-11-27,51.0,51.0,50.3,50.3,446675
2023-11-28,49.73,50.36,49.61,50.05,337493
